trial_id,label,sample_index,t_ms,ax,ay,az,gx,gy,gz
swipe_left_20260519_211957,swipe_left,0,647495,0.120728,0.143188,0.974609,-3.601074,-5.981445,0.183105
swipe_left_20260519_211957,swipe_left,1,647515,0.116333,0.157959,0.993896,4.150391,-4.516602,0.976562
swipe_left_20260519_211957,swipe_left,2,647535,0.105957,0.151489,1.007324,4.760742,-5.065917,-1.159668
swipe_left_20260519_211957,swipe_left,3,647555,0.095825,0.147095,1.039551,-0.305176,-6.896972,-3.112793
swipe_left_20260519_211957,swipe_left,4,647575,0.084717,0.145264,1.03894,-0.854492,-5.187988,-3.967285
swipe_left_20260519_211957,swipe_left,5,647595,0.060791,0.151245,1.005859,-2.13623,-3.417969,-4.211426
swipe_left_20260519_211957,swipe_left,6,647615,0.031982,0.182861,1.028564,0.427246,-5.615234,-4.638672
swipe_left_20260519_211957,swipe_left,7,647635,0.065674,0.174927,1.072998,5.249023,-4.02832,-8.850098
swipe_left_20260519_211957,swipe_left,8,647655,0.122803,0.092651,1.031372,2.624511,1.708984,-12.817382
swipe_left_20260519_211957,swipe_left,9,647675,0.143921,0.062988,0.965698,0.732422,4.943848,-9.58252
swipe_left_20260519_211957,swipe_left,10,647695,0.131714,0.096313,0.937134,1.464844,2.685547,-4.089355
swipe_left_20260519_211957,swipe_left,11,647715,0.117188,0.116333,0.96936,-0.854492,-2.990722,-2.441406
swipe_left_20260519_211957,swipe_left,12,647735,0.112305,0.105835,1.012207,-1.647949,-4.577637,-3.112793
swipe_left_20260519_211957,swipe_left,13,647755,0.111084,0.097534,1.016724,-0.305176,-1.831055,-2.807617
swipe_left_20260519_211957,swipe_left,14,647775,0.111572,0.09729,1.010254,0.915527,1.098633,-2.01416
swipe_left_20260519_211957,swipe_left,15,647795,0.121826,0.091431,0.997192,2.746582,3.051758,-0.549316
swipe_left_20260519_211957,swipe_left,16,647815,0.128906,0.09314,0.983643,2.01416,2.624511,2.13623
swipe_left_20260519_211957,swipe_left,17,647835,0.117554,0.128418,0.97937,0.0,1.342773,3.540039
